question,body no carry,body carry,paraphrase no carry,paraphrase carry,answer no carry,answer carry,answer,Carry Operation,Num. Carries
How many juicers does Andrew have totaled?,Evelyn has 926 juicers. Andrew has 410 fewer juicers than Evelyn.,Evelyn has 715 juicers. Andrew has 199 fewer juicers than Evelyn.,Evelyn has 926 juicers. Andrew has 410 fewer juicers than Evelyn. How many juicers does Andrew have in total?,Evelyn has 715 juicers. Andrew has 199 fewer juicers than Evelyn. How many juicers does Andrew have in total?,516,516,516,Subtraction,2
How many ovens does Ava have totaled?,Michael has 929 ovens. Michael has 705 more ovens than Ava.,Michael has 740 ovens. Michael has 516 more ovens than Ava.,Michael has 929 ovens. Michael has 705 more ovens than Ava. How many ovens does Ava have in total?,Michael has 740 ovens. Michael has 516 more ovens than Ava. How many ovens does Ava have in total?,224,224,224,Subtraction,1
How many vacuum cleaners does Ryan have?,Mia has 622 vacuum cleaners. Mia has 330 fewer vacuum cleaners than Ryan.,Mia has 671 vacuum cleaners. Mia has 281 fewer vacuum cleaners than Ryan.,Mia has 622 vacuum cleaners. Mia has 330 fewer vacuum cleaners than Ryan. How many vacuum cleaners does Ryan have?,Mia has 671 vacuum cleaners. Mia has 281 fewer vacuum cleaners than Ryan. How many vacuum cleaners does Ryan have?,952,952,952,Addition,1
How many gallons of oil does Emily have?,Nicholas has 954 gallons of oil. Nicholas has 122 gallons of oil more than Emily.,Nicholas has 971 gallons of oil. Nicholas has 139 gallons of oil more than Emily.,Nicholas has 954 gallons of oil. Nicholas has 122 gallons more oil than Emily. How many gallons of oil does Emily have?,Nicholas has 971 gallons of oil. Nicholas has 139 gallons more oil than Emily. How many gallons of oil does Emily have?,832,832,832,Subtraction,1
How many washing machines does David have in their collection?,Sophia has 539 washing machines. Sophia has 133 more washing machines than David.,Sophia has 703 washing machines. Sophia has 297 more washing machines than David.,Sophia has 539 washing machines. Sophia has 133 more washing machines than David. How many washing machines does David have in his collection?,Sophia has 703 washing machines. Sophia has 297 more washing machines than David. How many washing machines does David have in his collection?,406,406,406,Subtraction,2
What is the number of green cups that Nathan has?,Jackson has 749 green cups. Jackson has 523 more green cups than Nathan.,Jackson has 421 green cups. Jackson has 195 more green cups than Nathan.,Jackson has 749 green cups. Jackson has 523 more green cups than Nathan. What is the number of green cups that Nathan has?,Jackson has 421 green cups. Jackson has 195 more green cups than Nathan. What is the number of green cups that Nathan has?,226,226,226,Subtraction,2
How many acres of farmland does Nicholas have?,Sophia has 624 acres of farmland. Nicholas has 225 acres of farmland more than Sophia.,Sophia has 456 acres of farmland. Nicholas has 393 acres of farmland more than Sophia.,Sophia has 624 acres of farmland. Nicholas has 225 acres more farmland than Sophia. How many acres of farmland does Nicholas have?,Sophia has 456 acres of farmland. Nicholas has 393 acres more farmland than Sophia. How many acres of farmland does Nicholas have?,849,849,849,Addition,1
What is the number of large plates that Mason has?,Samuel has 798 large plates. Mason has 312 fewer large plates than Samuel.,Samuel has 984 large plates. Mason has 498 fewer large plates than Samuel.,Samuel has 798 large plates. Mason has 312 fewer large plates than Samuel. What is the number of large plates that Mason has?,Samuel has 984 large plates. Mason has 498 fewer large plates than Samuel. What is the number of large plates that Mason has?,486,486,486,Subtraction,2
What is the number of large mugs that John has?,Olivia has 725 large mugs. Olivia has 422 more large mugs than John.,Olivia has 861 large mugs. Olivia has 558 more large mugs than John.,Olivia has 725 large mugs. Olivia has 422 more large mugs than John. What is the number of large mugs that John has?,Olivia has 861 large mugs. Olivia has 558 more large mugs than John. What is the number of large mugs that John has?,303,303,303,Subtraction,1
What is the number of small bottles that Nathan has?,Abigail has 859 small bottles. Nathan has 708 fewer small bottles than Abigail.,Abigail has 325 small bottles. Nathan has 174 fewer small bottles than Abigail.,Abigail has 859 small bottles. Nathan has 708 fewer small bottles than Abigail. What is the number of small bottles that Nathan has?,Abigail has 325 small bottles. Nathan has 174 fewer small bottles than Abigail. What is the number of small bottles that Nathan has?,151,151,151,Subtraction,1
How many kilograms of gold does Jackson have?,Ella has 154 kilograms of gold. Jackson has 431 kilograms of gold more than Ella.,Ella has 289 kilograms of gold. Jackson has 296 kilograms of gold more than Ella.,Ella has 154 kilograms of gold. Jackson has 431 kilograms more gold than Ella. How many kilograms of gold does Jackson have?,Ella has 289 kilograms of gold. Jackson has 296 kilograms more gold than Ella. How many kilograms of gold does Jackson have?,585,585,585,Addition,2
How many rugs does Daniel have?,Mason has 774 rugs. Daniel has 611 fewer rugs than Mason.,Mason has 831 rugs. Daniel has 668 fewer rugs than Mason.,Mason has 774 rugs. Daniel has 611 fewer rugs than Mason. How many rugs does Daniel have?,Mason has 831 rugs. Daniel has 668 fewer rugs than Mason. How many rugs does Daniel have?,163,163,163,Subtraction,2
